CustomerID,Cluster
C0001,1
C0001,1
C0001,1
C0001,1
C0001,1
C0002,3
C0002,3
C0002,3
C0002,3
C0003,1
C0003,1
C0003,1
C0003,1
C0004,1
C0004,1
C0004,1
C0004,1
C0004,1
C0004,1
C0004,1
C0004,1
C0005,1
C0005,1
C0005,1
C0006,4
C0006,4
C0006,4
C0006,4
C0007,2
C0007,2
C0007,2
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0008,0
C0009,0
C0009,0
C0009,0
C0010,0
C0010,0
C0010,0
C0010,0
C0011,1
C0011,1
C0011,1
C0011,1
C0011,1
C0012,1
C0012,1
C0012,1
C0012,1
C0012,1
C0012,1
C0012,1
C0013,2
C0013,2
C0013,2
C0013,2
C0013,2
C0013,2
C0013,2
C0014,0
C0015,3
C0015,3
C0016,1
C0016,1
C0016,1
C0016,1
C0016,1
C0017,3
C0017,3
C0017,3
C0017,3
C0017,3
C0017,3
C0017,3
C0017,3
C0018,2
C0018,2
C0018,2
C0018,2
C0018,2
C0019,0
C0019,0
C0019,0
C0019,0
C0019,0
C0019,0
C0020,2
C0021,1
C0021,1
C0021,1
C0021,1
C0021,1
C0021,1
C0021,1
C0021,1
C0022,1
C0022,1
C0022,1
C0022,1
C0022,1
C0022,1
C0023,2
C0023,2
C0023,2
C0023,2
C0023,2
C0023,2
C0024,3
C0024,3
C0024,3
C0024,3
C0024,3
C0024,3
C0024,3
C0025,0
C0025,0
C0025,0
C0025,0
C0026,2
C0026,2
C0026,2
C0026,2
C0027,3
C0027,3
C0027,3
C0027,3
C0028,2
C0028,2
C0028,2
C0028,2
C0028,2
C0028,2
C0028,2
C0028,2
C0029,0
C0029,0
C0029,0
C0029,0
C0030,3
C0030,3
C0030,3
C0030,3
C0030,3
C0031,3
C0031,3
C0031,3
C0031,3
C0032,0
C0032,0
C0032,0
C0033,0
C0034,3
C0034,3
C0034,3
C0034,3
C0034,3
C0034,3
C0035,1
C0035,1
C0035,1
C0035,1
C0036,3
C0036,3
C0036,3
C0037,2
C0037,2
C0037,2
C0037,2
C0037,2
C0038,3
C0038,3
C0038,3
C0038,3
C0038,3
C0039,1
C0039,1
C0039,1
C0039,1
C0039,1
C0039,1
C0040,4
C0040,4
C0040,4
C0041,2
C0041,2
C0041,2
C0041,2
C0041,2
C0041,2
C0041,2
C0042,1
C0042,1
C0042,1
C0043,0
C0043,0
C0043,0
C0044,4
C0044,4
C0044,4
C0045,2
C0045,2
C0045,2
C0045,2
C0045,2
C0045,2
C0045,2
C0046,1
C0046,1
C0046,1
C0046,1
C0046,1
C0046,1
C0046,1
C0047,0
C0047,0
C0047,0
C0047,0
C0047,0
C0047,0
C0047,0
C0048,1
C0048,1
C0048,1
C0048,1
C0048,1
C0049,0
C0049,0
C0049,0
C0049,0
C0049,0
C0049,0
C0049,0
C0049,0
C0050,4
C0050,4
C0050,4
C0051,2
C0051,2
C0051,2
C0051,2
C0051,2
C0051,2
C0051,2
C0052,3
C0052,3
C0052,3
C0052,3
C0053,2
C0053,2
C0053,2
C0053,2
C0053,2
C0053,2
C0054,2
C0054,2
C0054,2
C0054,2
C0054,2
C0054,2
C0054,2
C0054,2
C0055,3
C0055,3
C0055,3
C0055,3
C0055,3
C0056,3
C0056,3
C0056,3
C0056,3
C0056,3
C0057,1
C0057,1
C0057,1
C0057,1
C0057,1
C0057,1
C0058,0
C0059,2
C0059,2
C0059,2
C0059,2
C0059,2
C0059,2
C0059,2
C0059,2
C0060,0
C0061,1
C0061,1
C0061,1
C0062,3
C0062,3
C0062,3
C0063,1
C0063,1
C0064,1
C0064,1
C0064,1
C0064,1
C0064,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0065,1
C0066,4
